Date,Price,Open,High,Low,Vol.,Change %
7-Sep-16,2186.16,2185.17,2187.87,2179.07,-,-0.01%
6-Sep-16,2186.48,2181.61,2186.57,2175.10,-,0.30%
2-Sep-16,2179.98,2177.49,2184.87,2173.59,-,0.42%
1-Sep-16,2170.86,2171.33,2173.56,2157.09,-,0.00%
31-Aug-16,2170.95,2173.56,2173.79,2161.35,-,-0.24%
30-Aug-16,2176.12,2179.45,2182.27,2170.41,-,-0.20%
29-Aug-16,2180.38,2170.19,2183.48,2170.19,-,0.52%
26-Aug-16,2169.04,2175.10,2187.94,2160.39,-,-0.16%
25-Aug-16,2172.47,2173.29,2179.00,2169.74,-,-0.14%
24-Aug-16,2175.44,2185.09,2186.66,2171.25,-,-0.52%
23-Aug-16,2186.90,2187.81,2193.42,2186.80,-,0.20%
22-Aug-16,2182.64,2181.58,2185.15,2175.96,-,-0.06%
19-Aug-16,2183.87,2184.24,2185.00,2175.13,-,-0.14%
18-Aug-16,2187.02,2181.90,2187.03,2180.46,-,0.22%
17-Aug-16,2182.22,2177.84,2183.08,2168.50,-,0.19%
16-Aug-16,2178.15,2186.24,2186.24,2178.14,-,-0.55%
15-Aug-16,2190.15,2186.08,2193.81,2186.08,-,0.28%
12-Aug-16,2184.05,2183.74,2186.28,2179.42,-,-0.08%
11-Aug-16,2185.79,2177.97,2188.45,2177.97,-,0.47%
10-Aug-16,2175.49,2182.81,2183.41,2172.00,-,-0.29%
9-Aug-16,2181.74,2182.24,2187.66,2178.61,-,0.04%
8-Aug-16,2180.89,2183.76,2185.44,2177.85,-,-0.09%
5-Aug-16,2182.87,2168.79,2182.87,2168.79,-,0.86%
4-Aug-16,2164.25,2163.51,2168.19,2159.07,-,0.02%
3-Aug-16,2163.79,2156.81,2163.79,2152.56,-,0.31%
2-Aug-16,2157.03,2169.94,2170.20,2147.58,-,-0.64%
1-Aug-16,2170.84,2173.15,2178.29,2166.21,-,-0.13%
29-Jul-16,2173.60,2168.83,2177.09,2163.49,-,0.16%
28-Jul-16,2170.06,2166.05,2172.85,2159.74,-,0.16%
27-Jul-16,2166.58,2169.81,2174.98,2159.07,-,-0.12%
26-Jul-16,2169.18,2168.97,2173.54,2160.18,-,0.03%
25-Jul-16,2168.48,2173.71,2173.71,2161.95,-,-0.30%
22-Jul-16,2175.03,2166.47,2175.11,2163.24,-,0.46%
21-Jul-16,2165.17,2172.91,2174.56,2159.75,-,-0.36%
20-Jul-16,2173.02,2166.10,2175.63,2164.89,-,0.43%
19-Jul-16,2163.78,2163.79,2164.63,2159.01,-,-0.14%
18-Jul-16,2166.89,2162.04,2168.35,2159.63,-,0.24%
15-Jul-16,2161.74,2165.13,2169.05,2155.79,-,-0.09%
14-Jul-16,2163.75,2157.88,2168.99,2157.88,-,0.53%
13-Jul-16,2152.43,2153.81,2156.45,2146.21,-,0.01%
12-Jul-16,2152.14,2139.50,2155.40,2139.50,-,0.70%
11-Jul-16,2137.16,2131.72,2143.16,2131.72,-,0.34%
8-Jul-16,2129.90,2106.97,2131.71,2106.97,-,1.53%
7-Jul-16,2097.90,2100.42,2109.08,2089.39,-,-0.09%
6-Jul-16,2099.73,2084.43,2100.72,2074.02,-,0.54%
5-Jul-16,2088.55,2095.05,2095.05,2080.86,-,-0.68%
1-Jul-16,2102.95,2099.34,2108.71,2097.90,-,0.19%
30-Jun-16,2098.86,2073.17,2098.94,2070.00,-,1.36%
29-Jun-16,2070.77,2042.69,2073.13,2042.69,-,1.70%
