Date,Open,Close,Volume,Daily_Price_Change,Price_lag1,Vol_lag1,Price_lag2,Vol_lag2,Price_lag3,Vol_lag3,Price_lag4,Vol_lag4,Price_lag5,Vol_lag5
6/28/13,1611.119995,1606.280029,4977190000,-0.0030041,0.004208069,5.42E+12,0.006902089,5.69E+12,0.006662362,5.95E+12,-0.009869304,7.48E+12,0.002398345,9.22E+12
7/1/13,1609.780029,1614.959961,3104690000,0.003217789,-0.0030041,8.01E+12,0.004208069,5.42E+12,0.006902089,5.69E+12,0.006662362,5.95E+12,-0.009869304,7.48E+12
7/2/13,1614.290039,1614.079956,3317130000,-0.00013014,0.003217789,5.01E+12,-0.0030041,8.01E+12,0.004208069,5.42E+12,0.006902089,5.69E+12,0.006662362,5.95E+12
7/3/13,1611.47998,1615.410034,1966050000,0.002438785,-0.00013014,5.35E+12,0.003217789,5.01E+12,-0.0030041,8.01E+12,0.004208069,5.42E+12,0.006902089,5.69E+12
7/5/13,1618.650024,1631.890015,2634140000,0.00817965,0.002438785,3.17E+12,-0.00013014,5.35E+12,0.003217789,5.01E+12,-0.0030041,8.01E+12,0.004208069,5.42E+12
7/8/13,1634.199951,1640.459961,3514590000,0.003830627,0.00817965,4.28E+12,0.002438785,3.17E+12,-0.00013014,5.35E+12,0.003217789,5.01E+12,-0.0030041,8.01E+12
7/9/13,1642.890015,1652.319946,3155360000,0.005739843,0.003830627,5.75E+12,0.00817965,4.28E+12,0.002438785,3.17E+12,-0.00013014,5.35E+12,0.003217789,5.01E+12
7/10/13,1651.560059,1652.619995,3011010000,0.000641779,0.005739843,5.20E+12,0.003830627,5.75E+12,0.00817965,4.28E+12,0.002438785,3.17E+12,-0.00013014,5.35E+12
7/11/13,1657.410034,1675.02002,3446340000,0.010625003,0.000641779,4.97E+12,0.005739843,5.20E+12,0.003830627,5.75E+12,0.00817965,4.28E+12,0.002438785,3.17E+12
7/12/13,1675.26001,1680.189941,3039070000,0.002942786,0.010625003,5.74E+12,0.000641779,4.97E+12,0.005739843,5.20E+12,0.003830627,5.75E+12,0.00817965,4.28E+12
7/15/13,1679.589966,1682.5,2623200000,0.001732586,0.002942786,5.10E+12,0.010625003,5.74E+12,0.000641779,4.97E+12,0.005739843,5.20E+12,0.003830627,5.75E+12
7/16/13,1682.699951,1676.26001,3081710000,-0.003827148,0.001732586,4.41E+12,0.002942786,5.10E+12,0.010625003,5.74E+12,0.000641779,4.97E+12,0.005739843,5.20E+12
7/17/13,1677.910034,1680.910034,3153440000,0.001787939,-0.003827148,5.18E+12,0.001732586,4.41E+12,0.002942786,5.10E+12,0.010625003,5.74E+12,0.000641779,4.97E+12
7/18/13,1681.050049,1689.369995,3452370000,0.004949255,0.001787939,5.30E+12,-0.003827148,5.18E+12,0.001732586,4.41E+12,0.002942786,5.10E+12,0.010625003,5.74E+12
7/19/13,1686.150024,1692.089966,3302580000,0.003522784,0.004949255,5.82E+12,0.001787939,5.30E+12,-0.003827148,5.18E+12,0.001732586,4.41E+12,0.002942786,5.10E+12
7/22/13,1694.410034,1695.530029,2779130000,0.000660994,0.003522784,5.58E+12,0.004949255,5.82E+12,0.001787939,5.30E+12,-0.003827148,5.18E+12,0.001732586,4.41E+12
